@relation 'Dataset 2012_x_modified'

@attribute ﻿Country {Somalia,'Congo Democratic Republic',Sudan,'South Sudan',Chad,Zimbabwe,Afghanistan,Haiti,Yemen,Iraq,'Central African Republic','Cote dIvoire',Guinea,Pakistan,Nigeria,'Guinea Bissau',Kenya,Ethiopia,Burundi,Niger,Uganda,Myanmar,'North Korea',Eritrea,Syria,Liberia,Cameroon,Nepal,Timor-Leste,Bangladesh,'Sri Lanka',Egypt,'Sierra Leone','Congo Republic',Iran,Rwanda,Malawi,Cambodia,Mauritania,Togo,Uzbekistan,'Burkina Faso','Kyrgyz Republic','Equatorial Guinea',Zambia,Lebanon,Tajikistan,'Solomon Islands',Laos,Angola,Libya,Georgia,Colombia,Djibouti,'Papua New Guinea',Swaziland,Philippines,Comoros,Madagascar,Bhutan,Mozambique,'Israel and West Bank',Bolivia,Gambia,Indonesia,Fiji,Tanzania,Ecuador,Azerbaijan,Nicaragua,Guatemala,Senegal,Lesotho,Moldova,Benin,Honduras,China,Algeria,India,'Bosnia and Herzegovina',Mali,Turkmenistan,Venezuela,Russia,Thailand,Belarus,Turkey,Morocco,Maldives,Serbia,Jordan,'Cape Verde',Gabon,'El Salvador',Tunisia,'Dominican Republic',Vietnam,'Sao Tome and Principe',Mexico,Peru,'Saudi Arabia',Cuba,Armenia,Micronesia,Guyana,Suriname,Namibia,Kazakhstan,Paraguay,Macedonia,Malaysia,Samoa,Ghana,Belize,Ukraine,Cyprus,'South Africa',Botswana,Albania,Jamaica,Seychelles,Grenada,'Trinidad and Tobago',Brazil,'Brunei Darussalam',Bahrain,Romania,'Antigua and Barbuda',Kuwait,Mongolia,Bulgaria,Croatia,Panama,Montenegro,Bahamas,Barbados,Latvia,Oman,Greece,'Costa Rica','United Arab Emirates',Hungary,Qatar,Estonia,'Slovak Republic',Argentina,Italy,Mauritius,Poland,Lithuania,Malta,Chile,Japan,Spain,Uruguay,'Czech Republic','South Korea',Singapore,'United Kingdom','United States',Portugal,Slovenia,France,Belgium,Germany,Australia,Iceland,Netherlands,Austria,Canada,Ireland,'New Zealand',Luxembourg,Norway,Switzerland,Denmark,Sweden,Finland}
@attribute Total numeric
@attribute C1 numeric
@attribute C2 numeric
@attribute C3 numeric
@attribute E1 numeric
@attribute E2 numeric
@attribute E3 numeric
@attribute P1 numeric
@attribute P2 numeric
@attribute P3 numeric
@attribute S1 numeric
@attribute S2 numeric
@attribute X1 numeric
@attribute VA numeric
@attribute GE numeric
@attribute RL numeric
@attribute PS numeric
@attribute CC numeric
@attribute POP numeric
@attribute TR {Alert,Warning,Stable,Sustainable}

@data
Somalia,114.9,10,9.8,9.6,9.7,8.1,8.6,9.9,9.8,9.9,9.8,10,9.8,-2.19676,-2.20034,-2.42338,-2.86076,-1.59165,2.9,Alert
'Congo Democratic Republic',111.2,9.7,9.5,9.3,8.8,8.9,7.4,9.5,9.2,9.7,9.9,9.7,9.6,-0.088365,-0.027809,-0.089526,-0.10486,-0.061934,1.526752,Alert
Sudan,109.4,9.7,9.9,10,7.3,8.8,8.3,9.5,8.5,9.4,8.4,9.9,9.5,-1.77434,-1.41966,-1.22625,-2.26056,-1.4856,2.3,Alert
'South Sudan',108.4,9.7,10,10,7.3,8.8,6.4,9.1,9.5,9.2,8.4,9.9,10,-1.33309,-1.58474,-1.43073,-1.15658,-1.28087,3.5,Alert
Chad,107.6,8.9,9.8,9.1,8.3,8.6,7.7,9.8,9.5,9.3,9.3,9.5,7.8,-1.34275,-1.48877,-1.46607,-1.04412,-1.31372,3.3,Alert
Zimbabwe,106.3,8.7,9.8,8.7,8.9,8.9,9,9.4,9.1,8.9,9,8.4,7.5,-1.47197,-1.33626,-1.62998,-0.77866,-1.36814,2.2,Alert
Afghanistan,106,9.7,9.4,9.4,7.7,8.1,7.4,9.5,8.5,8.5,8.9,9,10,-1.26743,-1.36014,-1.64316,-2.41856,-1.41989,3.3,Alert
Haiti,104.9,8.2,9,7,9.5,8.6,8.8,9.3,9.3,7.7,9.5,8.1,9.7,-0.76274,-1.645,-1.32745,-0.78809,-1.23577,1.4,Alert
Yemen,104.8,9.7,9.8,9,8.7,8.4,7,9.1,9,8.4,8.8,8.7,8.3,-0.088365,-0.027809,-0.089526,-0.10486,-0.061934,1.526752,Alert
Iraq,104.3,9.9,9.6,9.7,7.7,8.7,8.6,8.4,7.8,8.3,8,8.5,9,-1.07618,-1.10862,-1.45786,-1.93405,-1.21734,3.3,Alert
'Central African Republic',103.8,9.6,9.1,8.5,8,8.7,5.6,8.9,9.1,8.5,8.8,9.7,9.3,-1.24114,-1.44853,-1.44337,-1.85292,-0.99278,0.3,Alert
'Cote dIvoire',103.6,8.9,9.9,9,7.4,7.7,7.6,9.6,8.3,8.3,7.9,9,10,-0.088365,-0.027809,-0.089526,-0.10486,-0.061934,1.526752,Alert
Guinea,101.9,9.4,9.2,7.9,8.9,8.1,8,9.5,8.6,8.7,8.3,8,7.3,-1.01389,-1.26874,-1.40758,-1.28701,-1.0417,2.2,Alert
Pakistan,101.6,9.3,9.1,9.6,7.2,8.2,7.2,8.3,7,8.6,8.5,9,9.4,-0.84358,-0.77793,-0.88422,-2.677,-1.06292,2.1,Alert
Nigeria,101.1,9.2,9.8,9.7,7.5,8.9,7.6,9.1,9.1,8.6,8.4,6.5,6.6,-0.70022,-0.99648,-1.14628,-2.04207,-1.16913,2.7,Alert
'Guinea Bissau',99.2,9.4,9.2,5.7,9,7.8,7.7,9.3,8.5,7.5,8.7,7.5,8.9,-0.088365,-0.027809,-0.089526,-0.10486,-0.061934,1.526752,Alert
