@relation 'Dataset 2013_x_modified'

@attribute Country {Somalia,'Congo Democratic Republic',Sudan,'South Sudan',Chad,Yemen,Afghanistan,Haiti,'Central African Republic',Zimbabwe,Iraq,'Cote dIvoire',Pakistan,Guinea,'Guinea Bissau',Nigeria,Kenya,Niger,Ethiopia,Burundi,Syria,Uganda,Liberia,'North Korea',Eritrea,Myanmar,Cameroon,'Sri Lanka',Bangladesh,Nepal,Mauritania,Timor-Leste,'Sierra Leone',Egypt,'Burkina Faso','Congo Republic',Iran,Mali,Rwanda,Malawi,Cambodia,Togo,Angola,Uzbekistan,Zambia,Lebanon,'Equatorial Guinea','Kyrgyz Republic',Swaziland,Djibouti,'Solomon Islands',Tajikistan,'Papua New Guinea',Libya,Georgia,Comoros,Colombia,Laos,Mozambique,Philippines,Madagascar,Bhutan,Gambia,Senegal,Tanzania,China,Bolivia,Fiji,'Israel and West Bank',Guatemala,Lesotho,Nicaragua,Algeria,Ecuador,Honduras,Azerbaijan,Indonesia,Benin,India,Russia,Belarus,Turkmenistan,'Bosnia and Herzegovina',Moldova,Tunisia,Turkey,Jordan,Maldives,Venezuela,Thailand,'Sao Tome and Principe',Serbia,Morocco,'Cape Verde','Dominican Republic','El Salvador',Mexico,Vietnam,Gabon,Micronesia,Cuba,'Saudi Arabia',Peru,Paraguay,Armenia,Suriname,Guyana,Namibia,Kazakhstan,Ghana,Samoa,Macedonia,'South Africa',Belize,Cyprus,Malaysia,Ukraine,Jamaica,Albania,Grenada,Botswana,Seychelles,'Brunei Darussalam',Bahrain,'Trinidad and Tobago',Brazil,Kuwait,'Antigua and Barbuda',Mongolia,Romania,Panama,Bulgaria,Bahamas,Montenegro,Croatia,Oman,Barbados,Greece,'Costa Rica',Latvia,Hungary,'United Arab Emirates',Qatar,Argentina,Estonia,'Slovak Republic',Italy,Mauritius,Spain,Lithuania,Malta,Chile,Poland,'Czech Republic',Uruguay,Japan,'South Korea',Singapore,'United States','United Kingdom',France,Portugal,Slovenia,Belgium,Germany,Austria,Netherlands,Canada,Australia,Ireland,Iceland,Luxembourg,'New Zealand',Denmark,Norway,Switzerland,Sweden,Finland}
@attribute C1 numeric
@attribute C3 numeric
@attribute E2 numeric
@attribute P1 numeric
@attribute P3 numeric
@attribute S2 numeric
@attribute VA numeric
@attribute RL numeric
@attribute CC numeric
@attribute TR {Alert,Warning,Stable,Sustainable}

@data
Somalia,9.7,9.3,8.4,9.5,10,10,-2.17477,-2.40425,-1.58071,Alert
'Congo Democratic Republic',10,9.4,8.8,9.6,9.8,10,-0.087348,-0.088084,-0.05873,Alert
Sudan,9.8,10,8.5,9.6,9.3,10,-1.7759,-1.27108,-1.46897,Alert
'South Sudan',9.6,10,8.9,9.1,9.3,10,-1.44238,-1.51201,-1.38236,Alert
Chad,9.4,8.8,8.9,9.7,9.8,9.7,-1.37471,-1.38249,-1.35127,Alert
Yemen,9.8,9,8.1,9.3,8.7,9.2,-0.087348,-0.088084,-0.05873,Alert
Afghanistan,9.9,9.2,7.8,9.4,8.4,9.2,-1.24007,-1.59731,-1.43676,Alert
Haiti,7.9,7,9.1,8.8,7.6,8.6,-0.74945,-1.29426,-1.13048,Alert
'Central African Republic',9.7,8.5,9.2,9,8.6,9.8,-1.47469,-1.79308,-1.09076,Alert
Zimbabwe,8.4,8.4,8.6,9.2,8.9,8.7,-1.38622,-1.57917,-1.40489,Alert
Iraq,10,10,8.4,8.6,8.6,8.8,-1.05719,-1.44964,-1.27774,Alert
'Cote dIvoire',9.1,9,7.8,9.3,8.6,9.3,-0.087348,-0.088084,-0.05873,Alert
Pakistan,9.8,9.7,7.9,8.4,8.7,9.1,-0.79948,-0.85682,-0.95636,Alert
Guinea,9.1,7.6,8.2,9.8,8.4,8.2,-1.02231,-1.3754,-1.04008,Alert
'Guinea Bissau',9.5,5.7,8.1,9.7,7.6,7.8,-0.087348,-0.088084,-0.05873,Alert
Nigeria,9.5,9.8,9.2,8.8,8.6,6.6,-0.69303,-1.11368,-1.22126,Alert
Kenya,8.1,9,8.3,8.3,7.1,8.7,-0.21226,-0.71112,-1.03127,Alert
Niger,8.3,7.8,7.9,8.1,7.6,7.9,-0.30629,-0.6596,-0.61107,Alert
Ethiopia,8.4,8.6,7.6,7.3,8.7,8.7,-1.31303,-0.64741,-0.49495,Alert
Burundi,7.7,8.1,7.6,8.4,7.9,8.8,-0.95305,-1.07,-1.40968,Alert
Syria,9.8,9.3,7.2,9.6,9.5,9.5,-0.087348,-0.088084,-0.05873,Alert
Uganda,8.2,8,7.8,8.1,7.9,8.4,-0.55198,-0.34128,-1.04266,Alert
Liberia,7.1,6.5,8,6.6,6.4,9.2,-0.38732,-0.87903,-0.71057,Warning
