@relation 'Dataset 2014_x_modified'

@attribute ﻿Country {'South Sudan',Somalia,'Central African Republic','Congo Democratic Republic',Sudan,Chad,Afghanistan,Yemen,Haiti,Pakistan,Zimbabwe,Guinea,Iraq,'Cote dIvoire',Syria,'Guinea Bissau',Nigeria,Kenya,Ethiopia,Niger,Burundi,Uganda,Eritrea,Liberia,Myanmar,'North Korea',Cameroon,Mauritania,Bangladesh,'Sri Lanka',Egypt,Nepal,Timor-Leste,Rwanda,'Sierra Leone',Mali,'Congo Republic',Malawi,'Burkina Faso',Cambodia,Libya,Togo,Angola,Iran,Djibouti,Lebanon,'Solomon Islands',Uzbekistan,Zambia,Mozambique,Swaziland,'Equatorial Guinea',Philippines,Comoros,Tajikistan,Laos,'Papua New Guinea','Kyrgyz Republic',Colombia,Gambia,Madagascar,Senegal,Georgia,Bhutan,Tanzania,Guatemala,'Israel and West Bank',China,Fiji,Bolivia,Algeria,Lesotho,Nicaragua,Benin,Turkmenistan,Honduras,Azerbaijan,Tunisia,Ecuador,Thailand,India,Indonesia,Jordan,Venezuela,Russia,'Bosnia and Herzegovina','Sao Tome and Principe',Maldives,Moldova,Belarus,Micronesia,Morocco,'Cape Verde',Turkey,'Dominican Republic','Saudi Arabia',Peru,Vietnam,Gabon,'El Salvador',Serbia,Paraguay,Namibia,Armenia,Mexico,Guyana,Cuba,Ghana,Suriname,Samoa,Kazakhstan,Cyprus,Ukraine,Belize,'South Africa',Macedonia,Malaysia,Grenada,Jamaica,Bahrain,Botswana,Seychelles,Albania,'Brunei Darussalam',Brazil,'Trinidad and Tobago','Antigua and Barbuda',Kuwait,Mongolia,Romania,Montenegro,Panama,Bulgaria,Bahamas,Oman,Croatia,Greece,Barbados,Qatar,'Costa Rica',Hungary,Latvia,'United Arab Emirates',Argentina,Mauritius,'Slovak Republic',Estonia,Italy,Lithuania,Spain,Malta,Poland,Chile,'Czech Republic',Uruguay,'South Korea',Japan,Singapore,'United States',France,'United Kingdom',Portugal,Slovenia,Belgium,Germany,Netherlands,Austria,Canada,Australia,Ireland,Iceland,Luxembourg,'New Zealand',Switzerland,Norway,Denmark,Sweden,Finland}
@attribute Total numeric
@attribute C1 numeric
@attribute C2 numeric
@attribute C3 numeric
@attribute E1 numeric
@attribute E2 numeric
@attribute E3 numeric
@attribute P1 numeric
@attribute P2 numeric
@attribute P3 numeric
@attribute S1 numeric
@attribute S2 numeric
@attribute X1 numeric
@attribute VA numeric
@attribute GE numeric
@attribute RL numeric
@attribute PS numeric
@attribute CC numeric
@attribute POP numeric
@attribute TR {Alert,Warning,Stable,Sustainable}

@data
'South Sudan',112.9,9.9,10,10,8.8,8.9,6.8,9.7,9.9,9.9,9.1,10,9.9,-1.61789,-2.06817,-1.82296,-2.64658,-1.58943,3.1,Alert
Somalia,112.6,9.4,10,9.3,9.1,8.7,8.9,9.1,9.6,9.8,9.5,10,9.2,-2.11479,-2.44588,-2.34938,-2.51583,-1.65976,2.9,Alert
'Central African Republic',110.6,9.9,9.7,9.5,7.8,9.4,7,9.5,9.7,9.5,8.7,10,9.9,-1.39162,-1.84833,-1.6957,-2.69919,-1.16016,0.3,Alert
'Congo Democratic Republic',110.2,9.4,9.5,9.6,8.2,8.5,7.2,9.3,9.4,10,9.4,9.9,9.8,-0.060882,-0.01826,-0.040151,-0.096233,-0.068721,1.467516,Alert
Sudan,110.1,9.6,10,9.9,8.1,8.2,8.7,9.3,9.1,9.3,8.6,9.7,9.6,-1.73663,-1.53204,-1.16749,-2.36308,-1.44542,2.4,Alert
Chad,108.7,9.1,9.8,8.5,7.7,8.8,8.3,9.4,10,9.5,9.6,9.8,8.2,-1.33105,-1.49593,-1.13865,-1.56888,-1.31569,3.3,Alert
Afghanistan,106.5,10,9.4,8.7,8.3,7.5,7.8,9.5,9,8.3,8.8,9.3,9.9,-1.13544,-1.3314,-1.44565,-2.41107,-1.35478,3.2,Alert
Yemen,105.4,9.5,9.4,9.3,9.1,7.8,7.3,8.9,8.5,9,9.1,9,8.5,-0.060882,-0.01826,-0.040151,-0.096233,-0.068721,1.467516,Alert
Haiti,104.3,7.5,9.1,7,9.4,9.3,9.1,8.9,9.5,7.5,8.7,8.5,9.8,-0.79111,-2.04148,-1.18546,-0.64363,-1.2339,1.3,Alert
Pakistan,103,9.9,9.5,10,7.5,7.6,6.9,8.5,7.6,8.6,8.8,8.8,9.3,-0.71602,-0.755,-0.76034,-2.40128,-0.83383,2.1,Alert
Zimbabwe,102.8,8.1,10,8.1,8.3,8.3,8.3,9.3,8.8,8.6,8.9,8.4,7.7,-1.25696,-1.2106,-1.43125,-0.71357,-1.39129,2.3,Alert
Guinea,102.7,9.2,9.6,8.4,8.9,7.9,7.5,9.9,9.2,8.5,8,8.3,7.3,-0.85807,-1.23236,-1.3605,-0.95524,-1.05749,2.3,Alert
Iraq,102.2,10,9.6,10,7,8.1,8,8.7,7.7,8.7,8,8.5,7.9,-1.14426,-1.11116,-1.33479,-2.48034,-1.33376,3.3,Alert
'Cote dIvoire',101.7,8.8,9.4,9,7.4,7.6,7,8.8,8.7,8.7,7.8,9.1,9.4,-0.060882,-0.01826,-0.040151,-0.096233,-0.068721,1.467516,Alert
Syria,101.6,10,9.6,10,6.7,6.9,6.9,9.8,7.2,9.9,6,10,8.6,-0.060882,-0.01826,-0.040151,-0.096233,-0.068721,1.467516,Alert
'Guinea Bissau',100.6,8.6,9.6,6,8.4,8.1,8.3,9.3,9.1,7.5,8.5,8.1,9.1,-0.060882,-0.01826,-0.040151,-0.096233,-0.068721,1.467516,Alert
Nigeria,99.7,9.5,9.5,9.8,7.3,8.9,7,8.8,9,8.7,8.3,6.9,6,-0.58676,-1.18602,-1.04924,-2.13028,-1.2747,2.7,Alert
Kenya,99,8.2,9.3,9.3,7.9,8,7.8,8.4,8.2,6.8,8.7,8.2,8.2,-0.14523,-0.33334,-0.41686,-1.28225,-0.9333,2.6,Alert
Ethiopia,97.9,8.1,8.7,8.9,7.4,7.3,6.7,7.1,8.9,8,9.4,9,8.4,-1.28435,-0.42448,-0.47156,-1.33939,-0.44426,2.6,Alert
Niger,97.9,8.4,8.9,7.5,8.1,7.9,6.6,7.8,9.3,7.3,9.3,8.2,8.6,-0.19514,-0.69619,-0.64574,-1.17584,-0.68685,3.8,Alert
Burundi,97.1,7.4,7.9,8.1,8.8,7.5,6.5,8.1,8.6,8,8.7,9,8.5,-1.04128,-1.12915,-0.96602,-0.78441,-1.25865,3,Alert
Uganda,96,7.9,8.9,8.3,7.3,7.6,6.9,7.8,8.3,7.6,8.7,8.7,8,-0.585,-0.50148,-0.38838,-0.94113,-1.08504,3.4,Alert
Eritrea,95.5,7.6,8.1,6.4,8,7.2,7.5,8.8,8.4,9.2,8.5,7.3,8.5,-2.1135,-1.60706,-1.53038,-0.80587,-0.89129,1.467516,Alert
Liberia,94.3,6.8,8.3,6.5,8,8,6.9,6.9,9.3,6.3,8.5,9.1,9.7,-0.27583,-1.34306,-0.80579,-0.61545,-0.77146,2.4,Warning
Myanmar,94.3,8,8.6,9.3,7,8.1,5.3,9.3,8.3,8,7.3,8.2,6.9,-1.34399,-1.27935,-1.18566,-1.08758,-0.88217,0.9,Warning
