Country,Total,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1,VA,GE,RL,PS,CC,POP,TR,,,,
Somalia,113.9,9.7,10,9.3,9.4,8.4,8.9,9.5,9.8,10,9.5,10,9.4,-2.17477,-2.21736,-2.40425,-2.75869,-1.58071,2.8,Alert,,,,
Congo Democratic Republic,111.9,10,9.5,9.4,8.5,8.8,7.1,9.6,9.5,9.8,10,10,9.7,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Alert,,,,
Sudan,111,9.8,10,10,7.8,8.5,8.4,9.6,8.8,9.3,8.8,10,10,-1.7759,-1.48542,-1.27108,-2.19301,-1.46897,2.4,Alert,,,,
South Sudan,110.6,9.6,9.8,10,8.6,8.9,6.5,9.1,9.8,9.3,8.9,10,10,-1.44238,-1.67925,-1.51201,-1.73033,-1.38236,3.3,Alert,,,,
Chad,109,9.4,9.5,8.8,8,8.9,8,9.7,9.9,9.8,9.5,9.7,7.9,-1.37471,-1.38883,-1.38249,-1.08947,-1.35127,3.3,Alert,,,,
Yemen,107,9.8,9.5,9,9.2,8.1,7.4,9.3,8.7,8.7,9.3,9.2,8.7,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Alert,,,,
Afghanistan,106.7,9.9,9.4,9.2,8.2,7.8,7.2,9.4,8.8,8.4,9.3,9.2,10,-1.24007,-1.38493,-1.59731,-2.51935,-1.43676,3.3,Alert,,,,
Haiti,105.8,7.9,9,7,9.7,9.1,9.1,8.8,9.6,7.6,9.6,8.6,9.9,-0.74945,-1.57629,-1.29426,-0.63102,-1.13048,1.4,Alert,,,,
Central African Republic,105.3,9.7,9.1,8.5,7.7,9.2,6.1,9,9.5,8.6,8.6,9.8,9.4,-1.47469,-1.60988,-1.79308,-2.1549,-1.09076,0.2,Alert,,,,
Zimbabwe,105.2,8.4,9.7,8.4,8.6,8.6,8.6,9.2,9.1,8.9,9.2,8.7,7.8,-1.38622,-1.27751,-1.57917,-0.66595,-1.40489,2.3,Alert,,,,
Iraq,103.9,10,9.6,10,7.3,8.4,8.3,8.6,7.6,8.6,8.3,8.8,8.5,-1.05719,-1.09611,-1.44964,-2.01139,-1.27774,3.3,Alert,,,,
Cote dIvoire,103.5,9.1,9.4,9,7.7,7.8,7.3,9.3,8.5,8.6,7.8,9.3,9.7,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Alert,,,,
Pakistan,102.9,9.8,9.2,9.7,7.5,7.9,6.9,8.4,7.3,8.7,8.9,9.1,9.6,-0.79948,-0.7918,-0.85682,-2.6033,-0.95636,2.1,Alert,,,,
Guinea,101.3,9.1,8.9,7.6,9.2,8.2,7.7,9.8,8.9,8.4,8.4,8.2,7,-1.02231,-1.17368,-1.3754,-1.22985,-1.04008,2.2,Alert,,,,
Guinea Bissau,101.1,9.5,9.7,5.7,8.7,8.1,8,9.7,8.8,7.6,8.4,7.8,9,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Alert,,,,
Nigeria,100.7,9.5,9.4,9.8,7.5,9.2,7.3,8.8,9.3,8.6,8.5,6.6,6.3,-0.69303,-0.99204,-1.11368,-2.08848,-1.22126,2.7,Alert,,,,
Kenya,99.6,8.1,9,9,7.6,8.3,7.8,8.3,8.1,7.1,9.1,8.7,8.5,-0.21226,-0.45727,-0.71112,-1.16693,-1.03127,2.7,Alert,,,,
Niger,99,8.3,8.9,7.8,8.4,7.9,6.3,8.1,9.5,7.6,9.8,7.9,8.5,-0.30629,-0.72093,-0.6596,-1.3218,-0.61107,3.8,Alert,,,,
Ethiopia,98.9,8.4,8.7,8.6,7.7,7.6,6.7,7.3,8.7,8.7,9.7,8.7,8.1,-1.31303,-0.607,-0.64741,-1.40731,-0.49495,2.6,Alert,,,,
Burundi,97.6,7.7,7.9,8.1,9.1,7.6,6.2,8.4,8.3,7.9,8.9,8.8,8.7,-0.95305,-1.06496,-1.07,-1.35028,-1.40968,3,Alert,,,,
Syria,97.4,9.8,9.2,9.3,6.4,7.2,6.2,9.6,7,9.5,5.6,9.5,8.1,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Alert,,,,
Uganda,96.6,8.2,8.6,8,7.4,7.8,6.7,8.1,8.3,7.9,9.1,8.4,8.2,-0.55198,-0.58594,-0.34128,-0.83869,-1.04266,3.4,Alert,,,,
Liberia,95.1,7.1,8.3,6.5,8.3,8,7,6.6,9.1,6.4,8.8,9.2,9.8,-0.38732,-1.38477,-0.87903,-0.47551,-0.71057,2.5,Warning,,,,
North Korea,95.1,8.4,7.7,6.6,9.3,8.3,4.4,9.8,9.5,9.7,8,5,8.4,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Warning,,,,
Eritrea,95,7.5,8.1,6.1,8.3,6.9,7.3,8.7,8.4,9.1,8.7,7.4,8.6,-2.19642,-1.51972,-1.40749,-0.77237,-0.90179,1.504458599,Warning,,,,
Myanmar,94.6,7.8,8.6,9,7.3,8.4,5.4,9,8.1,8.3,7.6,8.5,6.6,-1.46163,-1.4971,-1.23382,-1.14037,-1.0001,0.9,Warning,,,,
Cameroon,93.5,8,9.2,7.8,6.1,7.8,7.2,8.5,8.4,8.1,8.3,7.3,6.8,-1.0369,-0.91875,-1.05095,-0.53224,-1.20525,2.7,Warning,,,,
Sri Lanka,92.9,8.5,9.3,9.5,5.9,7.8,7.3,8.2,5.5,9,6.8,8.4,6.8,-0.59418,-0.16986,-0.27696,-0.6129,-0.21487,0.8,Warning,,,,
Bangladesh,92.5,7.7,8.9,8.6,7.3,7.8,7.5,8.3,8,7.3,8.1,7.3,5.8,-0.40539,-0.79382,-0.86682,-1.62786,-0.88707,1.2,Warning,,,,
Nepal,91.8,7.6,8.2,9,7.3,8.1,5.9,8.1,7.3,7.9,7.6,7.7,7.1,-0.52857,-0.92626,-0.71814,-1.12915,-0.68696,1.2,Warning,,,,
Mauritania,91.7,7.8,8.2,7.2,8,6.5,5.7,7.7,8.4,7.4,8.5,8.3,7.9,-0.95942,-0.99863,-0.99845,-1.01476,-0.83364,3,Warning,,,,
Timor-Leste,91.5,8.3,8.3,6.8,7.9,6.7,6.4,8,8.5,6,8.7,7.4,8.5,0.09112,-1.23125,-1.20846,-0.38468,-0.68388,2.4,Warning,,,,
Sierra Leone,91.2,5.4,7.9,5.9,8.6,8.5,8,7.3,9,6.1,9,8.1,7.4,-0.34259,-1.22545,-0.85903,-0.17472,-0.90584,2.3,Warning,,,,
Egypt,90.6,7.3,8.7,8.5,8.2,7.1,5.4,8.9,5.6,9.6,7.2,6.5,7.7,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Warning,,,,
Burkina Faso,90.2,7.2,7.3,5.3,7.7,8.4,6.3,7.7,8.7,6.8,9.4,7.4,8,-0.25543,-0.66084,-0.53045,-0.76339,-0.52309,3,Warning,,,,
Congo Republic,90,6.7,6.7,6,7,8.2,6.2,8.7,8.7,7.5,8.2,8,8.2,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Warning,,,,
Iran,89.7,8.6,9.4,8.8,6.5,6.7,6.1,8.9,5,9.4,5.5,7.3,7.5,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Warning,,,,
Mali,89.3,8.1,5,7.6,8.1,6.8,7.8,6,8.5,6.5,9.3,7.6,8,-0.28451,-0.90287,-0.74912,-1.72216,-0.78611,2.9,Warning,,,,
Rwanda,89.3,5.5,8.2,8.2,6.7,7.7,6.9,6.5,7.6,7.7,8.4,7.9,8,-1.2111,0.01972,-0.15472,-0.11095,0.62796,2.5,Warning,,,,
Malawi,89.2,5,7.6,5.7,8.4,8,8.1,7.5,8.2,6.8,8.9,6.5,8.4,-0.17875,-0.47992,-0.16228,-0.20581,-0.6074,2.9,Warning,,,,
Cambodia,88,6.2,8,7,6.4,7.3,7.4,8.3,8.1,7.8,7.2,6.2,8,-0.98093,-0.90618,-1.00412,-0.13644,-1.05243,1.6,Warning,,,,
Togo,87.8,7.4,7.5,4.8,7.4,7.6,6.8,8.3,8.3,7.8,8.2,7.1,6.5,-0.90447,-1.29496,-0.97349,-0.35371,-1.02688,2.6,Warning,,,,
Angola,87.1,6.1,7.3,6.8,5.1,9.4,5.9,8.6,8.4,7.3,8.9,7.2,6.1,-1.11384,-1.22317,-1.2679,-0.39123,-1.3097,3.5,Warning,,,,
Uzbekistan,86.9,7.9,8.7,7.5,7.2,7.6,6.3,9,5.4,9.2,6.7,6,5.4,-1.9665,-0.9137,-1.22667,-0.53608,-1.26326,1.6,Warning,,,,
Zambia,86.6,5,5.7,6,8.3,8,7.4,8,7.6,6.7,9.3,7.4,7.2,-0.10604,-0.49252,-0.26756,0.43593,-0.30679,3,Warning,,,,
Lebanon,86.3,8.5,9.2,8.5,5.3,6.2,6,7.2,5.6,6.8,6.3,8.5,8.2,-0.40498,-0.39522,-0.77569,-1.69035,-0.92407,7.1,Warning,,,,
Equatorial Guinea,86.1,7.5,8.2,6.6,4.5,9.1,6.6,9.6,7.6,9.4,8.3,3.3,5.5,-1.96989,-1.54172,-1.34934,0.12036,-1.59372,4.3,Warning,,,,
Kyrgyz Republic,85.7,7.4,8,8.4,7.6,7,6.4,8.4,5.9,7.6,6.2,5.6,7.3,-0.53826,-0.6519,-1.10921,-0.91177,-1.16288,2,Warning,,,,
Swaziland,85.6,6,7,3.6,8.9,7.5,6.3,8.7,7.8,8.3,9,4.9,7.5,-1.26199,-0.44819,-0.45885,-0.43191,-0.41312,1.8,Warning,,,,
Djibouti,85.5,6.6,7.5,6.2,6.9,7.3,5.2,7.8,7.4,7,8.3,7.2,8.1,-1.47103,-0.96229,-0.77209,-0.10219,-0.54208,1.7,Warning,,,,
Solomon Islands,85.2,6.7,8,6.8,7.8,8.3,5.7,7.3,8,5.9,7.7,4.9,8.2,0.00152,-0.82383,-0.52555,0.30038,-0.40027,2.1,Warning,,,,
Tajikistan,85.2,7.4,8.3,6.7,8,6.2,5.9,9.1,6.3,8.2,7.4,5.3,6.4,-1.50413,-1.05845,-1.25262,-1.18237,-1.2844,2.3,Warning,,,,
Papua New Guinea,84.9,6.6,7.1,6.6,6.9,9.1,7.5,7.1,8.9,6.2,7.6,5,6.3,-0.00446,-0.66301,-0.94754,-0.52025,-0.96152,2.2,Warning,,,,
Libya,84.5,8.9,8,7.4,5,6.7,4.2,8.4,7.3,9,5.5,5.4,8.8,-0.9716,-1.47106,-1.33688,-1.84408,-1.48179,0,Warning,,,,
Georgia,84.2,7.9,9.4,8,6.4,6.3,5.2,8.6,5.4,6.4,5.2,7.5,7.9,0.13881,0.58521,-0.00596,-0.44137,0.46923,-1.3,Warning,,,,
Comoros,84,7.5,7.5,5.3,8.2,6.4,7.2,7.4,7.9,6.6,7.4,4.5,8.1,-0.46056,-1.58937,-0.9368,-0.25693,-0.73996,2.4,Warning,,,,
Colombia,83.8,6.8,7.7,7.5,3.8,8.1,7.3,7.3,6.1,7.3,6.5,8.3,7.1,-0.08128,0.07136,-0.40589,-1.29197,-0.40521,1,Warning,,,,
Laos,83.7,6.6,8.3,6.1,5.7,6.1,6.8,8.6,7.3,8.3,7.5,5.8,6.6,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Warning,,,,
Mozambique,82.8,6.5,5.6,4.9,8,8,7.2,7,8.5,6.4,9.2,4.6,6.8,-0.25632,-0.61327,-0.81559,-0.22697,-0.60352,2.9,Warning,,,,
