Country,Total,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1,VA,GE,RL,PS,CC,POP,TR
South Sudan,114.5,10,10,10,9,8.8,6.9,10,10,10,9.8,10,10,-1.59444,-2.16318,-1.85548,-2.37569,-1.68749,3,Alert
Somalia,114,9.7,10,9.5,9.1,9,9.2,9.3,9.3,10,9.6,9.8,9.5,-2.00137,-2.19696,-2.30012,-2.38083,-1.61513,2.9,Alert
Central African Republic,111.9,9.8,10,9.6,8.3,9.7,6.9,9.5,9.9,10,8.4,10,9.8,-1.22546,-1.78472,-1.68481,-1.90476,-1.30804,0.7,Alert
Sudan,110.8,9.5,9.8,9.7,8.6,7.9,8.8,9.6,8.8,9.6,8.7,10,9.8,-1.77325,-1.46239,-1.20818,-2.16218,-1.48721,2.4,Alert
Congo Democratic Republic,109.7,9.5,9.5,9.5,7.9,8.8,7.1,9,9.7,10,9.5,9.4,9.8,-0.052003418,-0.016730633,-0.050599367,-0.10203519,-0.058207215,1.446794872,Alert
Chad,108.4,8.8,9.5,8.2,7.8,9.1,8.6,9.3,9.7,9.4,9.7,10,8.3,-1.33511,-1.46107,-1.18328,-0.97455,-1.36394,3.2,Alert
Yemen,108.2,10,9.4,9.4,9.3,8.1,7.5,9.3,8.2,9.1,9.2,9.1,9.5,-0.052003418,-0.016730633,-0.050599367,-0.10203519,-0.058207215,1.446794872,Alert
Afghanistan,107.9,10,9.3,8.9,8.6,7.2,8.1,9.7,9.3,8.6,9.3,9.1,9.8,-1.11751,-1.32299,-1.50405,-2.57122,-1.34197,2.9,Alert
Syria,107.8,10,9.9,10,7.5,7,7.4,9.9,8.2,10,8.1,10,9.9,-0.052003418,-0.016730633,-0.050599367,-0.10203519,-0.058207215,1.446794872,Alert
Guinea,104.9,8.9,9.6,8.7,9.2,7.6,7.2,9.9,9.8,8.2,9,8.7,8.1,-0.85796,-1.14242,-1.1585,-0.38699,-0.98649,2.4,Alert
Haiti,104.5,7.5,9.1,6.7,9.1,9.3,9.3,9.4,9.1,7.4,9.5,8.2,9.9,-0.79866,-2.01638,-1.18064,-0.67084,-1.2375,1.3,Alert
Iraq,104.4,10,9.6,10,6.9,7.8,8.1,9.2,7.5,8.9,8.2,8.9,9.4,-1.12788,-1.24645,-1.41777,-2.26035,-1.36885,3.1,Alert
Pakistan,103,9.6,9.2,10,7.7,7.3,7,8.6,7.9,8.4,9,8.9,9.3,-0.72203,-0.66747,-0.76667,-2.48271,-0.81074,2,Alert
Nigeria,102.5,9.9,9.8,9.9,7.6,8.8,7.1,9.1,9.1,8.8,8.8,7.5,6,-0.3666,-0.96267,-0.96107,-1.92544,-1.08372,2.6,Alert
Cote dIvoire,100.1,8.3,9.1,8.7,7.1,7.9,6.7,8.5,9,7.9,8.1,9,9.7,-0.052003418,-0.016730633,-0.050599367,-0.10203519,-0.058207215,1.446794872,Alert
Zimbabwe,100,7.9,9.7,7.8,8,8.1,8,9,8.5,8.3,8.7,8.4,7.6,-1.168,-1.15571,-1.31663,-0.61816,-1.30416,1.446794872,Alert
Guinea Bissau,99.9,8.8,9.6,5.7,8.7,8.4,8.5,9,9.2,7.2,8.2,7.8,8.8,-0.052003418,-0.016730633,-0.050599367,-0.10203519,-0.058207215,1.446794872,Alert
Burundi,98,7.7,7.9,8,8.5,7.7,6.8,8.4,8.3,8.2,9.2,9,8.4,-1.28865,-1.159,-1.16667,-1.93951,-1.24242,3.1,Alert
Niger,97.8,8.7,8.9,7.5,8.2,8.4,6.9,7.5,9.3,6.8,9.6,7.9,8.1,-0.21266,-0.60599,-0.57946,-1.06655,-0.64165,3.8,Alert
Ethiopia,97.5,8.4,8.6,8.5,6.9,7.1,7,7.4,8.6,8.5,9.2,9.4,7.9,-1.29829,-0.64666,-0.50903,-1.49819,-0.45016,2.5,Alert
Kenya,97.3,8.4,8.9,9,7.5,8.3,7.5,8.1,7.9,6.5,9,8.3,8,-0.14647,-0.29414,-0.48797,-1.24441,-1.00877,2.6,Alert
Liberia,97.3,6.9,8.3,6.2,8.6,8.3,6.6,7.3,9.7,6.7,9.5,9.2,10,-0.22103,-1.39389,-0.86449,-0.81803,-0.64727,2.4,Alert
Uganda,97,7.6,8.9,8.7,7,7.3,7.3,8,8.3,7.9,8.9,8.8,8.3,-0.57071,-0.48569,-0.38578,-0.8045,-1.05203,3.3,Alert
Eritrea,96.9,7.7,8.1,6.1,8.3,7.2,7.6,9.1,8.7,9.3,8.8,7.8,8.2,-2.1067,-1.59331,-1.48751,-0.87675,-1.30112,1.446794872,Alert
Libya,95.3,9.3,9.1,7.8,8,6.1,6.4,9.8,7.5,9,5.4,7.4,9.5,-1.34156,-1.65317,-1.62927,-2.19663,-1.6169,0.5,Alert
